player_id,last_name,first_name,bacon_number,max_year,v0,e1,v1,e2,v2,e3,v3,e4,v4,e5,v5,e6,v6,e7,v7,e8,v8,e9,v9,e10,v10
mulld101,Mulligan,Dick,,1947,mulld101,,,,,,,,,,,,,,,,,,,,
geygc101,Geygan,Chappie,,1926,geygc101,,,,,,,,,,,,,,,,,,,,
jonej103,Jones,John,,1932,jonej103,,,,,,,,,,,,,,,,,,,,
busbm001,Busby,Mike,,1999,busbm001,,,,,,,,,,,,,,,,,,,,
mortc003,Mortensen,Clayton,,2013,mortc003,,,,,,,,,,,,,,,,,,,,
hetkj101,Hetki,Johnny,,1954,hetkj101,,,,,,,,,,,,,,,,,,,,
jonef102,Jones,Fielder,,1915,jonef102,,,,,,,,,,,,,,,,,,,,
bowec102,Bowen,Chick,,1919,bowec102,,,,,,,,,,,,,,,,,,,,
hummj101,Hummel,John,,1918,hummj101,,,,,,,,,,,,,,,,,,,,
wilsb003,Wilson,Bryse,,2019,wilsb003,,,,,,,,,,,,,,,,,,,,
trujm001,Trujillo,Mike,,1989,trujm001,,,,,,,,,,,,,,,,,,,,
sborj002,Sborz,Josh,,2019,sborj002,,,,,,,,,,,,,,,,,,,,
cargb101,Cargo,Bobby,,1892,cargb101,,,,,,,,,,,,,,,,,,,,
winst101,Winsett,Tom,,1938,winst101,,,,,,,,,,,,,,,,,,,,
stasb001,Stassi,Brock,,2017,stasb001,,,,,,,,,,,,,,,,,,,,
lindt001,Linden,Todd,,2007,lindt001,,,,,,,,,,,,,,,,,,,,
massg101,Massa,Gordon,,1958,massg101,,,,,,,,,,,,,,,,,,,,
stedj101,Stedronsky,John,,1879,stedj101,,,,,,,,,,,,,,,,,,,,
browj110,Brown,Jumbo,,1941,browj110,,,,,,,,,,,,,,,,,,,,
dente101,Dent,Eddie,,1912,dente101,,,,,,,,,,,,,,,,,,,,
mcrek001,McReynolds,Kevin,,1994,mcrek001,,,,,,,,,,,,,,,,,,,,
owenh001,Owens,Henry,,2007,owenh001,,,,,,,,,,,,,,,,,,,,
koonh101,Koons,Harry,,1884,koonh101,,,,,,,,,,,,,,,,,,,,
borcg101,Borchers,George,,1895,borcg101,,,,,,,,,,,,,,,,,,,,
hofmf101,Hofmann,Fred,,1928,hofmf101,,,,,,,,,,,,,,,,,,,,
cartj002,Carter,Jeff,,1991,cartj002,,,,,,,,,,,,,,,,,,,,
callj104,Callahan,Jim,,1902,callj104,,,,,,,,,,,,,,,,,,,,
bishj101,Bishop,Jim,,1924,bishj101,,,,,,,,,,,,,,,,,,,,
reync102,Reynolds,Carl,,1939,reync102,,,,,,,,,,,,,,,,,,,,
marse101,Marshall,Doc,,1932,marse101,,,,,,,,,,,,,,,,,,,,
smith106,Smith,Hal,,1964,smith106,,,,,,,,,,,,,,,,,,,,
dearc101,DeArmond,Charlie,,1903,dearc101,,,,,,,,,,,,,,,,,,,,
verad001,Veras,Dario,,1998,verad001,,,,,,,,,,,,,,,,,,,,
schum101,Schultz,Mike,,1947,schum101,,,,,,,,,,,,,,,,,,,,
flanr101,Flanigan,Ray,,1946,flanr101,,,,,,,,,,,,,,,,,,,,
brech101,Brecheen,Harry,,1953,brech101,,,,,,,,,,,,,,,,,,,,
glias101,Gliatto,Sal,,1930,glias101,,,,,,,,,,,,,,,,,,,,
drisj101,Driscoll,Jim,,1972,drisj101,,,,,,,,,,,,,,,,,,,,
barrj103,Barrett,Jimmy,,1908,barrj103,,,,,,,,,,,,,,,,,,,,
andre001,Andrus,Elvis,,2019,andre001,,,,,,,,,,,,,,,,,,,,
gonza004,Gonzalez,Andy,,2009,gonza004,,,,,,,,,,,,,,,,,,,,
frenp101,French,Pat,,1917,frenp101,,,,,,,,,,,,,,,,,,,,
whitc102,Whitehouse,Charlie,,1919,whitc102,,,,,,,,,,,,,,,,,,,,
knoxj101,Knox,John,,1975,knoxj101,,,,,,,,,,,,,,,,,,,,
kellb003,Keller,Brad,,2019,kellb003,,,,,,,,,,,,,,,,,,,,
tablp001,Tabler,Pat,,1992,tablp001,,,,,,,,,,,,,,,,,,,,
hollb101,Holloman,Bobo,,1953,hollb101,,,,,,,,,,,,,,,,,,,,
lopeh101,Lopez,Hector,,1966,lopeh101,,,,,,,,,,,,,,,,,,,,
hamng102,Hamner,Granny,,1962,hamng102,,,,,,,,,,,,,,,,,,,,
harks101,Harkness,Spec,,1911,harks101,,,,,,,,,,,,,,,,,,,,
ramie005,Ramirez,Elvin,,2012,ramie005,,,,,,,,,,,,,,,,,,,,
rodrr004,Rodriguez,Rich,,2003,rodrr004,,,,,,,,,,,,,,,,,,,,
snipr101,Snipes,Roxy,,1923,snipr101,,,,,,,,,,,,,,,,,,,,
sadlc001,Sadler,Carl,,2003,sadlc001,,,,,,,,,,,,,,,,,,,,
carlj001,Carlson,Jesse,,2010,carlj001,,,,,,,,,,,,,,,,,,,,
munst101,Munson,Thurman,,1979,munst101,,,,,,,,,,,,,,,,,,,,
fermf001,Fermin,Felix,,1996,fermf001,,,,,,,,,,,,,,,,,,,,
hofft101,Hoffman,Tex,,1915,hofft101,,,,,,,,,,,,,,,,,,,,
gameb001,Gamel,Ben,,2019,gameb001,,,,,,,,,,,,,,,,,,,,
strap101,Strand,Paul,,1924,strap101,,,,,,,,,,,,,,,,,,,,
johnc001,Johnson,Cliff,,1986,johnc001,,,,,,,,,,,,,,,,,,,,
loe-k001,Loe,Kameron,,2013,loe-k001,,,,,,,,,,,,,,,,,,,,
