team_id,year_id,name,lg_id
BS11871,1871,Boston Red Stockings,NA
CH11871,1871,Chicago White Stockings,NA
CL11871,1871,Cleveland Forest Citys,NA
FW11871,1871,Fort Wayne Kekiongas,NA
NY21871,1871,New York Mutuals,NA
PH11871,1871,Philadelphia Athletics,NA
RC11871,1871,Rockford Forest Citys,NA
TRO1871,1871,Troy Haymakers,NA
WS31871,1871,Washington Olympics,NA
BL11872,1872,Baltimore Canaries,NA
BR11872,1872,Brooklyn Eckfords,NA
BR21872,1872,Brooklyn Atlantics,NA
BS11872,1872,Boston Red Stockings,NA
CL11872,1872,Cleveland Forest Citys,NA
MID1872,1872,Middletown Mansfields,NA
NY21872,1872,New York Mutuals,NA
PH11872,1872,Philadelphia Athletics,NA
TRO1872,1872,Troy Haymakers,NA
WS31872,1872,Washington Olympics,NA
WS41872,1872,Washington Nationals,NA
BL11873,1873,Baltimore Canaries,NA
BL41873,1873,Baltimore Marylands,NA
BR21873,1873,Brooklyn Atlantics,NA
BS11873,1873,Boston Red Stockings,NA
ELI1873,1873,Elizabeth Resolutes,NA
NY21873,1873,New York Mutuals,NA
PH11873,1873,Philadelphia Athletics,NA
PH21873,1873,Philadelphia Whites,NA
WS51873,1873,Washington Blue Legs,NA
BL11874,1874,Baltimore Canaries,NA
BR21874,1874,Brooklyn Atlantics,NA
BS11874,1874,Boston Red Stockings,NA
CH21874,1874,Chicago White Stockings,NA
HR11874,1874,Hartford Dark Blues,NA
NY21874,1874,New York Mutuals,NA
PH11874,1874,Philadelphia Athletics,NA
PH21874,1874,Philadelphia Whites,NA
BR21875,1875,Brooklyn Atlantics,NA
BS11875,1875,Boston Red Stockings,NA
CH21875,1875,Chicago White Stockings,NA
HR11875,1875,Hartford Dark Blues,NA
KEO1875,1875,Keokuk Westerns,NA
NH11875,1875,New Haven Elm Citys,NA
NY21875,1875,New York Mutuals,NA
PH11875,1875,Philadelphia Athletics,NA
PH21875,1875,Philadelphia Whites,NA
PH31875,1875,Philadelphia Centennials,NA
SL11875,1875,St. Louis Red Stockings,NA
SL21875,1875,St. Louis Brown Stockings,NA
WS61875,1875,Washington Nationals,NA
BSN1876,1876,Boston Red Caps,NL
CHN1876,1876,Chicago White Stockings,NL
CN11876,1876,Cincinnati Reds,NL
HAR1876,1876,Hartford Dark Blues,NL
LS11876,1876,Louisville Grays,NL
NY31876,1876,New York Mutuals,NL
PHN1876,1876,Philadelphia Athletics,NL
SL31876,1876,St. Louis Brown Stockings,NL
BSN1877,1877,Boston Red Caps,NL
CHN1877,1877,Chicago White Stockings,NL
CN11877,1877,Cincinnati Reds,NL
HAR1877,1877,Hartford Dark Blues,NL
LS11877,1877,Louisville Grays,NL
SL31877,1877,St. Louis Brown Stockings,NL
BSN1878,1878,Boston Red Caps,NL
CHN1878,1878,Chicago White Stockings,NL
CN11878,1878,Cincinnati Reds,NL
IN11878,1878,Indianapolis Blues,NL
ML21878,1878,Milwaukee Grays,NL
PRO1878,1878,Providence Grays,NL
BFN1879,1879,Buffalo Bisons,NL
BSN1879,1879,Boston Red Caps,NL
CHN1879,1879,Chicago White Stockings,NL
CL21879,1879,Cleveland Blues,NL
CN11879,1879,Cincinnati Reds,NL
PRO1879,1879,Providence Grays,NL
SR11879,1879,Syracuse Stars,NL
TRN1879,1879,Troy Trojans,NL
BFN1880,1880,Buffalo Bisons,NL
BSN1880,1880,Boston Red Caps,NL
CHN1880,1880,Chicago White Stockings,NL
CL21880,1880,Cleveland Blues,NL
CN11880,1880,Cincinnati Reds,NL
CN41880,1880,Cincinnati Reds,NL
PRO1880,1880,Providence Grays,NL
TRN1880,1880,Troy Trojans,NL
WOR1880,1880,Worcester Ruby Legs,NL
BFN1881,1881,Buffalo Bisons,NL
BSN1881,1881,Boston Red Caps,NL
CHN1881,1881,Chicago White Stockings,NL
CL21881,1881,Cleveland Blues,NL
DTN1881,1881,Detroit Wolverines,NL
PRO1881,1881,Providence Grays,NL
TRN1881,1881,Troy Trojans,NL
WOR1881,1881,Worcester Ruby Legs,NL
BFN1882,1882,Buffalo Bisons,NL
BL51882,1882,Baltimore Orioles,AA
BL21882,1882,Baltimore Orioles,AA
BSN1882,1882,Boston Red Caps,NL
CHN1882,1882,Chicago White Stockings,NL
CL21882,1882,Cleveland Blues,NL
CN21882,1882,Cincinnati Red Stockings,AA
DTN1882,1882,Detroit Wolverines,NL
LS21882,1882,Louisville Eclipse,AA
PH41882,1882,Philadelphia Athletics,AA
PRO1882,1882,Providence Grays,NL
PT11882,1882,Pittsburg Alleghenys,AA
SL41882,1882,St. Louis Brown Stockings,AA
TRN1882,1882,Troy Trojans,NL
WOR1882,1882,Worcester Ruby Legs,NL
BFN1883,1883,Buffalo Bisons,NL
BL21883,1883,Baltimore Orioles,AA
BSN1883,1883,Boston Beaneaters,NL
CHN1883,1883,Chicago White Stockings,NL
CL21883,1883,Cleveland Blues,NL
CL51883,1883,Columbus Buckeyes,AA
CN21883,1883,Cincinnati Red Stockings,AA
DTN1883,1883,Detroit Wolverines,NL
LS21883,1883,Louisville Eclipse,AA
NY11883,1883,New York Gothams,NL
NY41883,1883,New York Metropolitans,AA
PH41883,1883,Philadelphia Athletics,AA
PHI1883,1883,Philadelphia Quakers,NL
PRO1883,1883,Providence Grays,NL
PT11883,1883,Pittsburg Alleghenys,AA
SL41883,1883,St. Louis Browns,AA
ALT1884,1884,Altoona Mountain City,UA
BFN1884,1884,Buffalo Bisons,NL
BL21884,1884,Baltimore Orioles,AA
BLU1884,1884,Baltimore Monumentals,UA
BR31884,1884,Brooklyn Atlantics,AA
BSN1884,1884,Boston Beaneaters,NL
BSU1884,1884,Boston Reds,UA
CHN1884,1884,Chicago White Stockings,NL
CHU1884,1884,Chicago/Pittsburgh (Union League),UA
CL21884,1884,Cleveland Blues,NL
CL51884,1884,Columbus Buckeyes,AA
CN21884,1884,Cincinnati Red Stockings,AA
CNU1884,1884,Cincinnati Outlaw Reds,UA
DTN1884,1884,Detroit Wolverines,NL
IN21884,1884,Indianapolis Hoosiers,AA
KCU1884,1884,Kansas City Cowboys,UA
LS21884,1884,Louisville Eclipse,AA
MLU1884,1884,Milwaukee Brewers,UA
NY11884,1884,New York Gothams,NL
NY41884,1884,New York Metropolitans,AA
PH41884,1884,Philadelphia Athletics,AA
PHI1884,1884,Philadelphia Quakers,NL
PHU1884,1884,Philadelphia Keystones,UA
PRO1884,1884,Providence Grays,NL
PT11884,1884,Pittsburg Alleghenys,AA
RIC1884,1884,Richmond Virginians,AA
SL41884,1884,St. Louis Browns,AA
SLU1884,1884,St. Louis Maroons,UA
SPU1884,1884,St. Paul White Caps,UA
TL11884,1884,Toledo Blue Stockings,AA
WIL1884,1884,Wilmington Quicksteps,UA
WS71884,1884,Washington Nationals,AA
WSU1884,1884,Washington Nationals,UA
BFN1885,1885,Buffalo Bisons,NL
BL21885,1885,Baltimore Orioles,AA
BR31885,1885,Brooklyn Grays,AA
BSN1885,1885,Boston Beaneaters,NL
CHN1885,1885,Chicago White Stockings,NL
CN21885,1885,Cincinnati Red Stockings,AA
DTN1885,1885,Detroit Wolverines,NL
LS21885,1885,Louisville Colonels,AA
NY11885,1885,New York Giants,NL
NY41885,1885,New York Metropolitans,AA
PH41885,1885,Philadelphia Athletics,AA
PHI1885,1885,Philadelphia Quakers,NL
PRO1885,1885,Providence Grays,NL
PT11885,1885,Pittsburg Alleghenys,AA
SL41885,1885,St. Louis Browns,AA
SL51885,1885,St. Louis Maroons,NL
